file,omega_rpm,axial_depth_m,boundary_m,label,kurtosis_1st_derivative,ar_coeff_2,d2_energy,skewness_1st_derivative,multi_axis_energy_asymmetry,d3_d4_subband_energy_ratio,coherence_at_dominant_resonant,impulse_factor,cross_axis_peak_delay,cross_spectral_centroid,phase_space_ellipsicity,bivariate_orbit_radius_ratio
time1_11.h5,3000.0,0.002,0.00122736072758267,1,1.6906917967477133,-1.9300002863124297,110084.4386098405,-0.2189599215931963,-0.3926200016975118,0.45543187397524554,0.9995640216008769,3.7622447821688834,0.019596774193548393,371.9352125195045,0.774022877938646,0.25868304010486043
time1_12.h5,3000.0,0.003,0.00122736072758267,1,1.701940669838142,-1.7892108012771724,1497923.3172647106,0.3794462921274934,-0.34597835420354406,0.6088954829700781,0.9993032158503026,6.757600994221931,0.009758064516129036,539.4176429089036,0.7817504549457325,0.2387884578291182
time1_13.h5,3500.0,0.001,0.0037118327626069485,0,1.5822433734429109,-0.9490672745218478,5170.846590347619,1.9937167508906029,-0.482346618264197,0.3100685480856486,0.9999694270965414,2.122059230138656,0.000317460317460317,294.53794246235634,0.7164362593915852,0.1982307685676364
time1_14.h5,3500.0,0.002,0.0037118327626069485,0,2.0097721449966826,-0.8748535513582695,3810.2175671700415,0.9544548149653349,-0.4692337853473978,0.19819046246012983,0.9998694098257283,2.2141805753978474,0.000317460317460317,264.4720357323798,0.6813052704263581,0.20576919207966318
time1_15.h5,3500.0,0.003,0.0037118327626069485,0,2.7587893087978053,-0.8332529749577895,3356.2749934171206,0.575255231106649,-0.458048540177138,0.10488638003182618,0.9997243873637989,2.304823245449952,0.0003968253968253963,250.7125022396774,0.6430620735567413,0.2172158669091628
time1_16.h5,3500.0,0.004,0.0037118327626069485,1,1.9424344592201228,-2.1684803215292963,24824.620564866913,-0.7806831978518288,-0.4317350142903652,0.2996195296105119,0.9999782754023597,2.4114297843512618,0.003888888888888884,270.82387710000756,0.809077827012011,0.34537368480480635
time1_17.h5,3500.0,0.005,0.0037118327626069485,1,1.9164838009496126,-2.1392132884661086,256809.97981966674,-0.9224720248978862,-0.3797982711149533,0.3700945967173572,0.9998823769651475,3.5036967656912044,0.0038095238095238048,368.50265551097675,0.8182754851997477,0.34767042577161933
time1_18.h5,4000.0,0.001,0.0026254736930035327,0,3.5082072237212314,-0.9502165406522272,7209.149733733466,1.8078036244143487,-0.47166414004493745,0.2117397514144548,0.9999385798503457,2.143957402693213,0.0002393617021276828,331.98129701979946,0.751792971331903,0.20110580944767448
time1_19.h5,4000.0,0.002,0.0026254736930035327,0,6.27619526659585,-0.9148843171734703,6448.7732130896475,1.0179316442582942,-0.46128045732991646,0.15549630073379325,0.9998138908006144,2.231000738049812,0.0002393617021276828,305.82277210794695,0.736641778105077,0.21492356753928457
time1_20.h5,4000.0,0.003,0.0026254736930035327,1,2.2842806982365826,-1.5732355968544474,20141.885077837956,-0.47621640293340484,-0.4383607251026374,0.2348743937460081,0.9995102297456795,2.529543238516643,0.004069148936170608,301.76441390502805,0.7243403448272369,0.3821179345547302
