,kurtosis,skewness,crest_factor,margin_factor,shape_factor,impulse_factor,zero_crossing_rate,mean_crossing_rate,kurtosis_1st_derivative,skewness_1st_derivative,off_harmonic_energy_ratio,spectral_centroid,spectral_entropy,spectral_flatness,spectral_rolloff_85,spectral_spread,spectral_skewness,spectral_kurtosis,cross_correlation_coeff,cross_axis_peak_delay,bivariate_orbit_radius_ratio,coherence_at_tpf,coherence_at_dominant_resonant,cross_spectral_centroid,multi_axis_energy_asymmetry,d1_energy,d2_energy,d3_energy,d4_energy,a4_energy,wavelet_energy_entropy,d1_wavelet_kurtosis,d3_wavelet_std,d1_relative_energy,d3_d4_subband_energy_ratio,permutation_entropy,higuchi_fractal_dimension,katz_fractal_dimension,phase_space_ellipsicity,phase_space_area,ar_coeff_1,ar_coeff_2,ar_coeff_3,ar_residual_variance,autocorr_first_zero_lag,harmonic_peak_ratio,dominant_peak_tpf_ratio,transimpedance,acceleration_jerk_rms
spectral_flatness,0.8209488696609606,0.7922388302377434,0.7778836399081146,0.8279898800378177,0.7679445771632354,0.8080318653091078,-0.07323974218211982,-0.07323974218211982,0.07934550536648415,-0.4313258923636287,0.5200795882130984,0.6839029395912186,0.836960804506484,1.0,0.5348742358691966,0.3699958727134005,-0.49958519992940076,-0.39341781382162155,0.021171437971622138,0.37058078014439655,-0.24232371756001683,-0.005563259490505898,-0.3689477438383485,0.590439137885756,0.5458532136968546,0.8486670415798273,0.8152695584830452,0.6449509170497615,0.10973766655614996,-0.16867387353314273,0.6432301594749199,-0.04461998793945757,0.7938527233194593,0.7168637266116433,0.6887640333462763,0.5324328329071955,0.8567046883214496,0.6443063457261281,0.08249583885094489,0.23626364175283185,0.052670215469752736,-0.30628787748423353,0.43357033607628587,0.8496582693783739,-0.3611659938137458,0.07223084605597438,0.35166228825871687,-0.29414567965351984,0.33881469778654094
spectral_rolloff_85,0.4501288416021805,0.4782220641420118,0.519742695044463,0.5696307271338348,0.6196823234313864,0.5469668502074785,0.4645015348443773,0.4645015348443773,0.4316971494235492,0.04901057438488393,0.07451682129286503,0.9576828711633322,0.6021494447971389,0.5348742358691966,1.0,0.9454272358158857,-0.909371262401742,-0.8044213816893659,-0.34357802280025596,0.24360770432992443,-0.059504719699369525,0.21395824302146582,0.0299326934278717,0.8861486570418519,0.1338694554656714,0.4486027762603606,0.4105022827405013,0.3479847650652016,-0.17963187747250703,-0.4632147545289781,0.8483913866864377,-0.1175221957493143,0.43357792403155354,0.8473852020813903,0.6249472219660793,0.417523187708211,0.6340025518192886,0.23647596494344883,0.41684046434577043,-0.12133898041647147,-0.4258207815452274,0.09947616792756361,0.10192629824187208,0.4612401660330047,-0.5572220560384045,0.44345470093961864,0.4735052694549642,-0.3229370724209702,-0.06554046424087213
spectral_spread,0.282812620535513,0.30417879038328355,0.3396886336723397,0.38449724005156116,0.43552248425535955,0.36194869750271885,0.5629940641239942,0.5629940641239942,0.44446982118635303,0.16596667366288867,-0.009449072706453095,0.8775083585364112,0.4300874458396366,0.3699958727134005,0.9454272358158857,1.0,-0.9102139039045961,-0.8608616987744936,-0.3965030000400738,0.1403531272847699,0.06823764919888109,0.1595698593712255,0.14528069250398462,0.8417829964795931,0.02029010250606995,0.30090165507373035,0.27108535770567344,0.23167180611752156,-0.16899139823709416,-0.3922055097995544,0.7619263062315145,-0.1666544348696722,0.3054832881969224,0.7423942025051581,0.46575683506211446,0.3959823181069418,0.4832558210079679,0.1385130571168024,0.4787805584057497,-0.08949655046363128,-0.48832070778661935,0.1946659791094967,-0.007374417083263123,0.3142558034968805,-0.5534680766919104,0.4175637579265168,0.3568450756061198,-0.33036049791693645,-0.06264628596687738
spectral_skewness,-0.4682979994561642,-0.5105012276597503,-0.5420770414231048,-0.5567893111771486,-0.6050409275431189,-0.5525631683211989,-0.3780602861910534,-0.3780602861910534,-0.3205727702157666,0.04008114747145388,-0.13065337215042613,-0.9253085155990841,-0.6230849183281489,-0.49958519992940076,-0.909371262401742,-0.9102139039045961,1.0,0.9702409301647379,0.25572073131104317,-0.28624732844097145,-0.08134951694555834,-0.17949526449541361,-0.17675261246257493,-0.8161967256207715,-0.2153666059154963,-0.4150655026047032,-0.39111863110917244,-0.38788518053098464,0.06490059535208638,0.4386219584942986,-0.8668226852562928,0.20989043390890844,-0.48234693624637054,-0.7000063912583281,-0.5619235698878012,-0.5054991139883985,-0.6247568467710876,-0.3033724691477664,-0.35786929959063507,0.05349363340813535,0.24218013906607494,0.0743683175909767,-0.2610203189008335,-0.4271030802370442,0.6229286151400384,-0.40192528346612727,-0.4240255125948303,0.4310185351529649,-0.015021672832105194
spectral_kurtosis,-0.38061892246508183,-0.42104795152057733,-0.44372074188886285,-0.4491880890933082,-0.48978972639348717,-0.4486662863976435,-0.3523482524343516,-0.3523482524343516,-0.27396444732594377,0.020150632148389185,-0.11621606647068337,-0.8252739701817093,-0.5246777673882989,-0.39341781382162155,-0.8044213816893659,-0.8608616987744936,0.9702409301647379,1.0,0.22986399975034247,-0.2507669045804309,-0.17633131111119404,-0.13013369230131094,-0.29843386156047863,-0.7302623638052662,-0.18768137062520487,-0.3249574237931997,-0.31256448527371766,-0.33474635438054223,-0.0007431121702666026,0.37791758883054216,-0.7933544236183068,0.26343593774278956,-0.41843272628846406,-0.5663004893466163,-0.4385259342293742,-0.49632781897949496,-0.5235429333030689,-0.2790983562300299,-0.3289316743652325,0.0008478596815233549,0.19746269527929103,0.08020732673797736,-0.241887840011341,-0.33109199327059863,0.6251890095738953,-0.3394313484092718,-0.32275620598094723,0.457793849136491,-0.05872505815800969
cross_correlation_coeff,0.06135493669421434,0.08382172486419424,0.057823988584739916,0.01319865874530843,-0.02130090609160712,0.03737073645401097,-0.31387844379456614,-0.31387844379456614,-0.20938720914351827,-0.24575297763538595,0.14564348959839246,-0.2409322537364053,0.020649776549234715,0.021171437971622138,-0.34357802280025596,-0.3965030000400738,0.25572073131104317,0.22986399975034247,1.0,0.035922369061254476,-0.06392689957222461,-0.0637293453478978,-0.09800404153409212,-0.25314009303282475,0.2942541299588922,0.028916182498672584,0.04025804348394477,0.07599086468063243,0.21506749686400228,0.1647819161942211,-0.14476283615070398,-0.027236931115761604,0.10223065783029477,-0.18818504727129537,-0.051307173947362304,0.028560829571884477,-0.006562311534145149,0.1928297348667323,-0.28778766644504433,0.19002694303356946,0.3346558780101698,-0.2647431357784715,0.2012133776994316,0.023929975903920455,0.0981376687049758,-0.2323043144436475,-0.1388826590801427,-0.03218165354735085,0.2129879259351463
cross_axis_peak_delay,0.6182808323515813,0.6702670110134843,0.6891195882377007,0.6372377773528821,0.6000754260599183,0.6699222991517529,-0.11089500556987658,-0.11089500556987658,-0.06613701448794145,-0.4344328338433763,0.44499985906377026,0.38241544436354585,0.650337811769427,0.37058078014439655,0.24360770432992443,0.1403531272847699,-0.28624732844097145,-0.2507669045804309,0.035922369061254476,1.0,-0.07280593303764893,-0.012467615301195495,-0.10758213592002064,0.05597419339507987,0.5609471772745956,0.39777565940981674,0.4653665728284581,0.5843278292805025,0.33732715882543823,0.02314413461626648,0.3406154024818192,0.33755727493963916,0.44424893739246696,0.16087914146997728,0.3181943256941931,0.3260990998134152,0.44492596323694195,0.26216013278054096,0.08936873755785649,0.06807865240240035,0.4788370890169525,-0.6114363742993375,0.6529983478965296,0.2968960550157575,-0.0380430625248159,0.03510201506253125,0.19924005525032124,-0.22466800638361362,0.1369260507259124
bivariate_orbit_radius_ratio,-0.2625037517485352,-0.2438214983055909,-0.21737696602311735,-0.32177084994328736,-0.3217723315396032,-0.2730782797401691,0.02252209900378272,0.02252209900378272,-0.06743537479928916,-0.14777264014070937,-0.10984621016793282,-0.07894379039735377,-0.20438618109355527,-0.24232371756001683,-0.059504719699369525,0.06823764919888109,-0.08134951694555834,-0.17633131111119404,-0.06392689957222461,-0.07280593303764893,1.0,0.09358844556110331,0.3547329802610227,-0.08638827963626539,-0.15770806960038267,-0.23827527610004068,-0.20881244767533053,-0.1459995312608267,0.1745997650996556,0.19082244670223378,-0.025714241127074787,-0.3252680786121123,-0.1242741196042378,-0.24778387286825407,-0.3472895392186626,0.2295023297240592,-0.19852880872923098,0.025085695433948663,0.05236662530859449,-0.05470740385294577,0.21342140608169682,-0.1670629337932244,0.10906303350757111,-0.24932946765521585,-0.1097373926582928,-0.3055224764324714,-0.3128208680950475,-0.16595288267260935,-0.09131942142409258
coherence_at_tpf,-0.14142588036551057,-0.013776308428208532,0.12787429853857268,0.06523356473623806,0.24826691030306822,0.10416789104026494,0.10536228605679072,0.10536228605679072,0.16542838397497514,0.22370309337097322,-0.6355180000929653,0.16894646615578915,0.14761226654952445,-0.005563259490505898,0.21395824302146582,0.1595698593712255,-0.17949526449541361,-0.13013369230131094,-0.0637293453478978,-0.012467615301195495,0.09358844556110331,1.0,0.6063340569697468,-0.00890263318260589,-0.36083324141011963,-0.08302512508793426,-0.09106529599751625,-0.09053029000102639,-0.22117220333334264,-0.7609859065188567,0.23048869608422484,0.13760500127882622,-0.1003703143216246,0.09881213943264469,0.06781324094946282,-0.3255137063377126,-0.07726854327807244,-0.20263608184961296,0.03565101816118807,-0.4236402584194244,0.04113248803787519,-0.08635977674521045,0.12289345257368339,-0.06266750014840472,0.12749502340373073,0.14839773192016972,0.34666315817855897,0.16379968315078935,-0.47831657522650667
coherence_at_dominant_resonant,-0.3773104134650352,-0.30285948901156606,-0.20181696812795544,-0.2511663345897244,-0.11973527069120961,-0.22387774252680726,0.17493717644849638,0.17493717644849638,0.13088686209841555,0.37978530410072164,-0.5827262053872226,-0.0496537043818919,-0.19932944618569745,-0.3689477438383485,0.0299326934278717,0.14528069250398462,-0.17675261246257493,-0.29843386156047863,-0.09800404153409212,-0.10758213592002064,0.3547329802610227,0.6063340569697468,1.0,-0.13067719652951118,-0.45085575049793214,-0.32613103431033985,-0.2946162623120931,-0.19982635851491454,-0.03962576661712016,-0.45214847635915006,0.03728671165384864,-0.03838241008128359,-0.2963141281888225,-0.23238305993878364,-0.2855435616690168,-0.2921436156029347,-0.37155505144129486,-0.3201676284722881,0.023557649205575938,-0.32431914049349775,0.013769068504616809,0.027934192524611816,-0.04323711492414829,-0.33291581971507217,0.014185913398022046,0.06298750288902753,0.031757904131022634,0.12291343504853341,-0.4154926676787411
cross_spectral_centroid,0.4496506841912574,0.4244788189420048,0.422031711086689,0.4888700044155907,0.47385802401974375,0.453513612033937,0.3439738700210716,0.3439738700210716,0.3141764220265265,-0.05449210862128205,0.22514794622212173,0.8800268257339772,0.519802858641916,0.590439137885756,0.8861486570418519,0.8417829964795931,-0.8161967256207715,-0.7302623638052662,-0.25314009303282475,0.05597419339507987,-0.08638827963626539,-0.00890263318260589,-0.13067719652951118,1.0,0.20763406622013844,0.4849743751398693,0.41829647810283727,0.3084977718728201,-0.07655744427065563,-0.29815226725947924,0.8572384482170278,-0.4020879335648212,0.5139324476489907,0.8481901425979134,0.6388477522383444,0.5604399718876533,0.7148786978019961,0.4681000925134163,0.30774924296108713,0.09744509903498491,-0.5488006334076739,0.2516952158657728,-0.07710231521396288,0.5342334707072471,-0.7699747719387763,0.2747878070670126,0.297025922314992,-0.48298667184590044,0.18831265542892892
