fold,model,subset,num_features,f1,recall,precision,accuracy,roc_auc,pr_auc,selected_features
2,Random Forest,Set A (All 48),48,0.8,0.6666666666666666,1.0,0.8571428571428571,0.9861111111111112,0.9837261503928171,"kurtosis, skewness, crest_factor, margin_factor, shape_factor, impulse_factor, zero_crossing_rate, kurtosis_1st_derivative, skewness_1st_derivative, off_harmonic_energy_ratio, spectral_centroid, spectral_entropy, spectral_flatness, spectral_rolloff_85, spectral_spread, spectral_skewness, spectral_kurtosis, cross_correlation_coeff, cross_axis_peak_delay, bivariate_orbit_radius_ratio, coherence_at_tpf, coherence_at_dominant_resonant, cross_spectral_centroid, multi_axis_energy_asymmetry, d1_energy, d2_energy, d3_energy, d4_energy, a4_energy, wavelet_energy_entropy, d1_wavelet_kurtosis, d3_wavelet_std, d1_relative_energy, d3_d4_subband_energy_ratio, permutation_entropy, higuchi_fractal_dimension, katz_fractal_dimension, phase_space_ellipsicity, phase_space_area, ar_coeff_1, ar_coeff_2, ar_coeff_3, ar_residual_variance, autocorr_first_zero_lag, harmonic_peak_ratio, dominant_peak_tpf_ratio, transimpedance, acceleration_jerk_rms"
2,Random Forest,Set B (Fold Top 20),20,0.8,0.6666666666666666,1.0,0.8571428571428571,0.9814814814814815,0.9751543209876543,"spectral_entropy, impulse_factor, d2_energy, ar_coeff_3, margin_factor, crest_factor, shape_factor, skewness, d3_d4_subband_energy_ratio, ar_coeff_2, cross_axis_peak_delay, ar_coeff_1, cross_correlation_coeff, bivariate_orbit_radius_ratio, autocorr_first_zero_lag, phase_space_ellipsicity, kurtosis_1st_derivative, cross_spectral_centroid, kurtosis, spectral_flatness"
2,Random Forest,Set C (Fold Pruned 12),12,0.875,0.7777777777777778,1.0,0.9047619047619048,0.9166666666666666,0.9444444444444444,"spectral_entropy, d2_energy, ar_coeff_3, d3_d4_subband_energy_ratio, cross_axis_peak_delay, ar_coeff_1, cross_correlation_coeff, bivariate_orbit_radius_ratio, autocorr_first_zero_lag, phase_space_ellipsicity, kurtosis_1st_derivative, cross_spectral_centroid"
2,Random Forest,Set D (Fold Top 6),6,0.8,0.6666666666666666,1.0,0.8571428571428571,0.9537037037037036,0.9518899310565977,"spectral_entropy, impulse_factor, d2_energy, ar_coeff_3, margin_factor, crest_factor"
2,XGBoost,Set A (All 48),48,0.8,0.6666666666666666,1.0,0.8571428571428571,0.9166666666666666,0.906334714668048,"kurtosis, skewness, crest_factor, margin_factor, shape_factor, impulse_factor, zero_crossing_rate, kurtosis_1st_derivative, skewness_1st_derivative, off_harmonic_energy_ratio, spectral_centroid, spectral_entropy, spectral_flatness, spectral_rolloff_85, spectral_spread, spectral_skewness, spectral_kurtosis, cross_correlation_coeff, cross_axis_peak_delay, bivariate_orbit_radius_ratio, coherence_at_tpf, coherence_at_dominant_resonant, cross_spectral_centroid, multi_axis_energy_asymmetry, d1_energy, d2_energy, d3_energy, d4_energy, a4_energy, wavelet_energy_entropy, d1_wavelet_kurtosis, d3_wavelet_std, d1_relative_energy, d3_d4_subband_energy_ratio, permutation_entropy, higuchi_fractal_dimension, katz_fractal_dimension, phase_space_ellipsicity, phase_space_area, ar_coeff_1, ar_coeff_2, ar_coeff_3, ar_residual_variance, autocorr_first_zero_lag, harmonic_peak_ratio, dominant_peak_tpf_ratio, transimpedance, acceleration_jerk_rms"
2,XGBoost,Set B (Fold Top 20),20,0.8,0.6666666666666666,1.0,0.8571428571428571,0.9074074074074074,0.8994323577656911,"spectral_entropy, impulse_factor, d2_energy, ar_coeff_3, margin_factor, crest_factor, shape_factor, skewness, d3_d4_subband_energy_ratio, ar_coeff_2, cross_axis_peak_delay, ar_coeff_1, cross_correlation_coeff, bivariate_orbit_radius_ratio, autocorr_first_zero_lag, phase_space_ellipsicity, kurtosis_1st_derivative, cross_spectral_centroid, kurtosis, spectral_flatness"
2,XGBoost,Set C (Fold Pruned 12),12,0.8,0.6666666666666666,1.0,0.8571428571428571,0.888888888888889,0.8961670274170274,"spectral_entropy, d2_energy, ar_coeff_3, d3_d4_subband_energy_ratio, cross_axis_peak_delay, ar_coeff_1, cross_correlation_coeff, bivariate_orbit_radius_ratio, autocorr_first_zero_lag, phase_space_ellipsicity, kurtosis_1st_derivative, cross_spectral_centroid"
2,XGBoost,Set D (Fold Top 6),6,0.8,0.6666666666666666,1.0,0.8571428571428571,0.9027777777777777,0.8951113701113701,"spectral_entropy, impulse_factor, d2_energy, ar_coeff_3, margin_factor, crest_factor"
2,LightGBM,Set A (All 48),48,0.8,0.6666666666666666,1.0,0.8571428571428571,0.9814814814814815,0.9787878787878788,"kurtosis, skewness, crest_factor, margin_factor, shape_factor, impulse_factor, zero_crossing_rate, kurtosis_1st_derivative, skewness_1st_derivative, off_harmonic_energy_ratio, spectral_centroid, spectral_entropy, spectral_flatness, spectral_rolloff_85, spectral_spread, spectral_skewness, spectral_kurtosis, cross_correlation_coeff, cross_axis_peak_delay, bivariate_orbit_radius_ratio, coherence_at_tpf, coherence_at_dominant_resonant, cross_spectral_centroid, multi_axis_energy_asymmetry, d1_energy, d2_energy, d3_energy, d4_energy, a4_energy, wavelet_energy_entropy, d1_wavelet_kurtosis, d3_wavelet_std, d1_relative_energy, d3_d4_subband_energy_ratio, permutation_entropy, higuchi_fractal_dimension, katz_fractal_dimension, phase_space_ellipsicity, phase_space_area, ar_coeff_1, ar_coeff_2, ar_coeff_3, ar_residual_variance, autocorr_first_zero_lag, harmonic_peak_ratio, dominant_peak_tpf_ratio, transimpedance, acceleration_jerk_rms"
2,LightGBM,Set B (Fold Top 20),20,0.8,0.6666666666666666,1.0,0.8571428571428571,0.9814814814814815,0.9787878787878789,"spectral_entropy, impulse_factor, d2_energy, ar_coeff_3, margin_factor, crest_factor, shape_factor, skewness, d3_d4_subband_energy_ratio, ar_coeff_2, cross_axis_peak_delay, ar_coeff_1, cross_correlation_coeff, bivariate_orbit_radius_ratio, autocorr_first_zero_lag, phase_space_ellipsicity, kurtosis_1st_derivative, cross_spectral_centroid, kurtosis, spectral_flatness"
