feature_name,selection_count_set_c,selection_freq_set_c_pct,selection_count_set_b,selection_count_set_e_nested,stability_category,mean_rank,median_rank,avg_rf_shap,avg_xgb_shap,avg_lr_abs_coef,mean_permutation_importance,sd_permutation_importance
higuchi_fractal_dimension,0,0.0,1,0,Group 3 (Low Stability <=2/5),30.4,34.0,0.005341353555138541,0.0,0.1655235431108672,0.0,0.0
d3_wavelet_std,0,0.0,0,0,Group 3 (Low Stability <=2/5),32.8,32.0,0.003082898740453556,0.0,0.17854798562072632,0.0009876543209876528,0.0033492987570988924
off_harmonic_energy_ratio,0,0.0,0,0,Group 3 (Low Stability <=2/5),34.0,32.0,0.0024686568475470656,0.0,0.06634453259342467,0.0,0.0
permutation_entropy,0,0.0,0,0,Group 3 (Low Stability <=2/5),34.4,33.0,0.0026058472397417027,0.0,0.6265816403291897,0.0,0.0
spectral_rolloff_85,0,0.0,0,0,Group 3 (Low Stability <=2/5),35.8,37.0,0.002122379465126011,0.0,0.20015746279479382,0.0,0.0
spectral_skewness,0,0.0,0,0,Group 3 (Low Stability <=2/5),35.8,34.0,0.0016786838715089024,0.001088651712052524,0.261896146774958,0.0004938271604938264,0.0009876543209876528
transimpedance,0,0.0,0,0,Group 3 (Low Stability <=2/5),36.4,34.0,0.0021260729459202147,0.0,0.2804342472758158,0.0,0.0
acceleration_jerk_rms,0,0.0,0,0,Group 3 (Low Stability <=2/5),37.4,36.0,0.0019056147307876675,0.0,0.4275027549942975,0.0,0.0
spectral_centroid,0,0.0,0,0,Group 3 (Low Stability <=2/5),38.8,41.0,0.0008476595808591915,0.0012510059168562293,0.3000265522657982,0.0,0.0
spectral_kurtosis,0,0.0,0,0,Group 3 (Low Stability <=2/5),38.8,39.0,0.0012806896827518449,0.0,0.17144510815785236,0.0,0.0
phase_space_area,0,0.0,0,0,Group 3 (Low Stability <=2/5),40.4,42.0,0.0012251705138378055,0.0,0.1309586936500387,0.0,0.0
harmonic_peak_ratio,0,0.0,0,0,Group 3 (Low Stability <=2/5),42.6,43.0,0.00082216271632172,0.0,0.3099975554191735,-0.0004938271604938278,0.0009876543209876556
spectral_spread,0,0.0,0,0,Group 3 (Low Stability <=2/5),43.2,42.0,0.0006902495143107103,0.0,0.06869496993753713,0.0,0.0
dominant_peak_tpf_ratio,0,0.0,0,0,Group 3 (Low Stability <=2/5),47.2,48.0,0.0001860266414715798,0.0,0.06607481413918795,0.0,0.0
